# Measured / literature QE(lambda) points for photonPropagation.
# Values are fractional QE, not percent.
# Interpolation in the MC is linear between measured points.
# Some photocathode datasets are sparse digitizations from published figures; see notes/source columns.
# Extra column group is for plotting only; photonPropagation can ignore it.
group,material,dataset,label,qe_model,interpolation,wavelength_nm,wavelength_label,photon_energy_ev,qe,work_function_ev,source_ref,source_title,source_url,notes
photocathode,Mg_LePimpec,LePimpec2012,Mg technical cathode,table_lambda,linear,248,248,4.999,0.00015,3.7,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Mg cathode points from Le Pimpec et al.
photocathode,Mg_LePimpec,LePimpec2012,Mg technical cathode,table_lambda,linear,266,266,4.661,5e-05,3.7,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Mg cathode points from Le Pimpec et al.
photocathode,Cu_LePimpec,LePimpec2012,Cu technical cathode,table_lambda,linear,193,193,6.424,0.0005,4.6,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Cu cathode points from Le Pimpec et al.
photocathode,Cu_LePimpec,LePimpec2012,Cu technical cathode,table_lambda,linear,213,213,5.821,0.00022,4.6,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Cu cathode points from Le Pimpec et al.
photocathode,Cu_LePimpec,LePimpec2012,Cu technical cathode,table_lambda,linear,248,248,4.999,3.5e-05,4.6,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Cu cathode points from Le Pimpec et al.
photocathode,Cu_LePimpec,LePimpec2012,Cu technical cathode,table_lambda,linear,266,266,4.661,6e-06,4.6,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Cu cathode points from Le Pimpec et al.
photocathode,AlLi,LePimpec2012,Al-Li alloy cathode,table_lambda,linear,193,193,6.424,0.0025,4.1,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al-Li alloy points from Le Pimpec et al.
photocathode,AlLi,LePimpec2012,Al-Li alloy cathode,table_lambda,linear,213,213,5.821,0.0008,4.1,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al-Li alloy points from Le Pimpec et al.
photocathode,AlLi,LePimpec2012,Al-Li alloy cathode,table_lambda,linear,248,248,4.999,0.00018,4.1,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al-Li alloy points from Le Pimpec et al.
photocathode,AlLi,LePimpec2012,Al-Li alloy cathode,table_lambda,linear,266,266,4.661,6e-05,4.1,LePimpec2012,Quantum efficiency of technical metal photocathodes under laser irradiation of various wavelengths,https://arxiv.org/abs/1202.0152,Approximate technical Al-Li alloy points from Le Pimpec et al.
